#{"t_start": 1760104453.683867, "env_id": "None"}
r,l,t
-360.24963,100,8.261838
-47.683735,100,8.261842
-53.335674,100,8.261847
-207.97035,100,8.261851
-123.82784,100,8.261855
-37.542805,100,8.401664
-27.266132,100,8.401692
-16.270325,100,8.401699
-31.614206,100,8.401705
-53.224903,100,8.40171
-55.861465,100,8.401718
-80.526245,100,8.401723
-37.95477,100,8.401727
-42.75446,100,8.401732
-53.671036,100,8.401737
-123.72333,100,8.540806
-63.49269,100,8.540828
-163.98758,100,8.540836
-93.57155,100,8.540842
-143.0515,100,8.540847
-50.804077,100,8.540852
-89.25737,100,8.540857
-72.54238,100,8.540861
-96.11738,100,8.540866
-46.84219,100,8.54087
-68.15704,100,8.680246
-47.549408,100,8.680271
-22.174118,100,8.680281
-49.27,100,8.680286
-40.963833,100,8.680291
-21.488348,100,8.680299
-45.790882,100,8.680303
-78.004814,100,8.680308
-21.013624,100,8.680313
-62.532154,100,8.680317
-68.503,100,8.822272
-60.581898,100,8.822306
-33.346485,100,8.822314
-68.96387,100,8.822319
-31.897451,100,8.822325
-57.858917,100,8.82233
-75.7445,100,8.822334
-114.423256,100,8.822338
-21.925535,100,8.822343
-46.758118,100,8.822347
-34.890625,100,8.962844
-52.10128,100,8.962868
-53.733437,100,8.962875
-40.3128,100,8.96288
-97.6765,100,8.962885
-94.84546,100,8.96289
-98.5353,100,8.962895
-33.72702,100,8.962899
-54.692898,100,8.962904
-87.30159,100,8.962908
-66.30194,100,9.102749
-179.50443,100,9.102773
-73.95298,100,9.10278
-115.10105,100,9.102786
-23.015722,100,9.102792
-35.77447,100,9.102796
-42.347874,100,9.102801
-12.946965,100,9.102805
-46.778816,100,9.10281
-79.14504,100,9.102814
-14.314747,100,9.241869
-44.73457,100,9.241897
-19.019594,100,9.241904
-51.516266,100,9.24191
-32.864544,100,9.241915
-33.60607,100,9.241923
-12.112713,100,9.241928
-73.23564,100,9.241932
-54.71684,100,9.241936
-51.676563,100,9.241943
-59.86706,100,9.381793
-33.87489,100,9.381819
-8.791162,100,9.381832
-42.80712,100,9.381838
-49.654465,100,9.381844
-43.33307,100,9.381849
-53.66165,100,9.381854
-21.080103,100,9.381859
-73.76808,100,9.381863
-45.61278,100,9.381867
-73.53401,100,9.521311
-62.660603,100,9.521335
-64.86598,100,9.521341
-46.707726,100,9.521347
-65.41594,100,9.521351
-79.36957,100,9.521356
-64.11342,100,9.52136
-47.76864,100,9.521365
-71.4788,100,9.521369
-36.775124,100,9.521374
-20.084707,100,9.661429
-49.791676,100,9.661454
-28.976519,100,9.661461
-27.845263,100,9.661466
-16.385214,100,9.661471
-24.75558,100,9.661476
-11.287502,100,9.66148
-16.210472,100,9.661485
-37.193428,100,9.661489
-23.048075,100,9.661493
-14.110381,100,9.800825
-27.765774,100,9.800853
-19.112177,100,9.800864
-11.448927,100,9.800871
-19.166992,100,9.800876
-33.318256,100,9.800881
-15.725624,100,9.800886
-33.299915,100,9.80089
-33.210667,100,9.800894
-14.692026,100,9.800899
-62.688057,100,9.940227
-14.238578,100,9.940246
-24.332136,100,9.940253
-54.89926,100,9.940258
-36.496193,100,9.940263
-56.61977,100,9.940268
-56.15194,100,9.940287
-26.664425,100,9.940292
-37.142998,100,9.940296
-46.284546,100,9.9403
-12.710389,100,10.079605
-29.263996,100,10.079627
-54.985535,100,10.079633
-22.830156,100,10.079639
-45.189182,100,10.079643
-15.084655,100,10.079648
-55.194813,100,10.079652
-21.561829,100,10.079656
-9.962445,100,10.07966
-50.857372,100,10.079664
-12.653066,100,10.219491
-36.545826,100,10.219523
-34.960785,100,10.219533
-7.4861937,100,10.219539
-77.31655,100,10.219548
-19.856586,100,10.219553
-62.709633,100,10.219557
-35.67423,100,10.219562
-36.90267,100,10.219566
-21.081749,100,10.21957
-35.441235,100,10.358869
-64.43604,100,10.358905
-24.251852,100,10.358914
-20.549511,100,10.35892
-41.320454,100,10.358925
-20.791588,100,10.35893
-95.355774,100,10.358935
-39.05772,100,10.358942
-17.071804,100,10.358946
-22.665186,100,10.358951
-25.85009,100,10.499501
-9.040016,100,10.499529
-15.961177,100,10.499536
-14.6193695,100,10.499542
-8.322668,100,10.499547
-11.850992,100,10.499552
-16.06458,100,10.499557
-14.348835,100,10.499561
-15.671412,100,10.499565
-24.47164,100,10.49957
-85.13775,100,10.639384
-73.46254,100,10.639406
-68.7188,100,10.639412
-47.596874,100,10.639418
-61.06353,100,10.639424
-57.892212,100,10.639433
-41.857407,100,10.639439
-95.718346,100,10.639445
-63.921326,100,10.639449
-73.60759,100,10.639453
-51.65433,100,10.778904
-44.058014,100,10.778926
-43.361988,100,10.778933
-18.3335,100,10.778938
-33.62745,100,10.778943
-72.01715,100,10.778947
-21.731426,100,10.778952
-20.132599,100,10.778956
-39.194168,100,10.77896
-32.90372,100,10.778964
-16.785383,100,10.919456
-28.732126,100,10.919481
-27.435837,100,10.919487
-34.51693,100,10.919492
-28.166533,100,10.919497
-10.81552,100,10.919501
-39.793144,100,10.919505
-11.197045,100,10.91951
-38.24896,100,10.919514
-21.495062,100,10.919518
-53.5636,100,11.061101
-31.245853,100,11.061124
-32.204445,100,11.061131
-12.478113,100,11.061138
-10.505156,100,11.061143
-45.24592,100,11.061148
-18.51859,100,11.061155
-31.26479,100,11.061159
-40.904625,100,11.061163
-21.112085,100,11.061167
-33.775173,100,11.202642
-22.72601,100,11.202671
-38.874073,100,11.202678
-20.314615,100,11.202684
-15.2365675,100,11.202689
-24.477592,100,11.202697
-26.021053,100,11.202702
-31.144981,100,11.202707
-31.76748,100,11.202711
-28.246777,100,11.202715
-34.497784,100,11.344357
-79.46558,100,11.344385
-14.007896,100,11.344396
-37.304226,100,11.344402
-29.067497,100,11.344407
-29.616705,100,11.344412
-59.676834,100,11.344416
-13.186492,100,11.34442
-32.200806,100,11.344424
-28.26583,100,11.344428
-73.469864,100,11.485618
-60.986107,100,11.485646
-73.56443,100,11.485653
-49.716938,100,11.485658
-73.06052,100,11.485664
-107.79411,100,11.485673
-83.354866,100,11.485678
-78.0861,100,11.485682
-64.77763,100,11.485686
-71.630844,100,11.48569
-59.016544,100,11.627923
-57.96272,100,11.627945
-44.42218,100,11.627951
-51.737415,100,11.627957
-51.15606,100,11.627964
-11.913587,100,11.627969
-21.109224,100,11.627973
-35.519238,100,11.62798
-30.530956,100,11.627985
-51.792778,100,11.627989
-10.355805,100,11.77004
-16.24207,100,11.770061
-6.8213935,100,11.770068
-21.790411,100,11.770074
-12.104371,100,11.770079
-18.474367,100,11.770084
-11.651264,100,11.770088
-11.005814,100,11.770093
-20.616005,100,11.770097
-13.411156,100,11.770101
-45.070667,100,11.912581
-48.05297,100,11.912605
-11.578089,100,11.912611
-18.931435,100,11.91262
-19.478252,100,11.912625
-18.116402,100,11.91263
-18.276697,100,11.912635
-31.93815,100,11.912639
-30.52752,100,11.912644
-20.5638,100,11.912649
-54.771046,100,12.054376
-31.359985,100,12.054398
-20.705542,100,12.054404
-37.637794,100,12.054409
-52.793304,100,12.054414
-11.895895,100,12.054419
-40.15656,100,12.054423
-26.145432,100,12.054427
-10.4798355,100,12.054431
-40.534214,100,12.054436
-22.972261,100,12.196327
-11.6002865,100,12.196356
-4.9506755,100,12.196367
-9.932492,100,12.196373
-13.057765,100,12.196378
-18.216015,100,12.196382
-11.832528,100,12.196396
-17.367537,100,12.1964
-37.576344,100,12.196405
-10.890204,100,12.196409
-13.793559,100,12.337981
-15.276973,100,12.338008
-15.151745,100,12.338018
-17.04484,100,12.338024
-7.3917437,100,12.338033
-46.07053,100,12.338039
-22.671125,100,12.338043
-21.233456,100,12.338051
-9.313727,100,12.338055
-8.326043,100,12.33806
-4.5663843,100,12.480354
-29.222065,100,12.480376
-18.651814,100,12.480383
-18.504148,100,12.480388
-38.0233,100,12.480393
-18.492373,100,12.480398
-18.857386,100,12.480403
-19.405952,100,12.480407
-18.424887,100,12.480411
-6.752293,100,12.480415
-22.153755,100,12.622136
-22.227499,100,12.622161
-7.3887835,100,12.622171
-13.828221,100,12.622177
-14.851898,100,12.622182
-17.199059,100,12.622187
-37.533585,100,12.622192
-11.087633,100,12.622196
-17.74609,100,12.6222
-8.924939,100,12.622204
-13.625505,100,12.764373
-5.067674,100,12.764401
-21.334848,100,12.764408
-10.367509,100,12.764413
-12.292603,100,12.764418
-12.795772,100,12.764423
-18.262491,100,12.76443
-11.98804,100,12.764435
-19.743958,100,12.764439
-6.20996,100,12.764443
-40.954643,100,12.905761
-5.2428436,100,12.905786
-24.224035,100,12.905796
-14.5694,100,12.905803
-53.067448,100,12.90581
-9.279095,100,12.905816
-14.049344,100,12.905822
-14.038535,100,12.905828
-15.53474,100,12.905834
-10.280485,100,12.905839
-17.846476,100,13.048986
