#{"t_start": 1760104631.30268, "env_id": "None"}
r,l,t
-25.362907,100,25.102284
-10.2531185,100,25.102289
-12.256617,100,25.102293
-18.884396,100,25.241228
-8.4611435,100,25.24127
-15.643574,100,25.241278
-51.118126,100,25.241283
-39.05168,100,25.241288
-39.1311,100,25.241292
-13.860904,100,25.241296
-43.72748,100,25.241301
-12.699278,100,25.241305
-16.991184,100,25.241309
-19.054733,100,25.379314
-24.087713,100,25.379349
-16.587584,100,25.379355
-16.62902,100,25.379362
-22.03788,100,25.379367
-48.596664,100,25.379372
-23.686424,100,25.379376
-16.885107,100,25.379381
-26.994322,100,25.379385
-11.3893585,100,25.379389
-20.82291,100,25.516211
-10.79929,100,25.516226
-17.264381,100,25.516233
-8.74078,100,25.516242
-16.76159,100,25.516248
-15.3510475,100,25.516253
-23.959085,100,25.516258
-22.738396,100,25.516263
-12.589484,100,25.516267
-49.460777,100,25.516271
-41.477818,100,25.652737
-10.243916,100,25.652748
-19.603306,100,25.652754
-26.2383,100,25.652759
-14.109815,100,25.652764
-23.699596,100,25.652768
-37.883442,100,25.652773
-22.057169,100,25.652777
-22.50377,100,25.652781
-11.775413,100,25.652786
-24.22389,100,28.477921
-17.500036,100,28.477968
-9.709889,100,28.477977
-21.177094,100,28.477983
-54.015255,100,28.477988
-13.58235,100,28.477993
-8.446327,100,28.477998
-8.146275,100,28.478003
-11.638673,100,28.478007
-41.29706,100,28.478012
-8.358406,100,28.613706
-10.128587,100,28.61373
-11.586098,100,28.613739
-23.72011,100,28.613745
-10.854561,100,28.613751
-24.289133,100,28.613759
-17.027494,100,28.613764
-13.357566,100,28.613769
-15.103727,100,28.613773
-51.21121,100,28.613778
-22.42194,100,28.749648
-16.23704,100,28.74966
-35.83094,100,28.749666
-10.850662,100,28.74967
-23.871576,100,28.749675
-24.099335,100,28.749679
-13.86708,100,28.749683
-13.403352,100,28.749687
-12.891098,100,28.749691
-21.705925,100,28.749695
-31.89798,100,28.885693
-14.421587,100,28.885721
-19.974424,100,28.885733
-13.740923,100,28.885739
-6.635031,100,28.885744
-23.631395,100,28.88575
-21.379944,100,28.885755
-10.62669,100,28.88576
-28.015802,100,28.885764
-20.325783,100,28.885768
-14.892586,100,29.021026
-13.067121,100,29.021038
-15.182129,100,29.021044
-5.9698753,100,29.02105
-19.602219,100,29.021055
-21.958815,100,29.02106
-37.318817,100,29.021064
-14.371408,100,29.021068
-19.900572,100,29.021073
