#{"t_start": 1761302692.6657631, "env_id": "None"}
r,l,t
-50.128597,100,7.838762
-228.08824,100,8.017033
-164.43658,100,8.017194
-161.96759,100,8.017212
-119.174286,100,8.017219
-214.52835,100,8.017225
-73.67382,100,8.01723
-45.478436,100,8.017235
-108.50553,100,8.017239
-214.66368,100,8.017244
-130.23392,100,8.017248
-106.9171,100,8.153572
-320.55045,100,8.153618
-170.53705,100,8.15363
-148.71677,100,8.153636
-99.5535,100,8.153646
-66.31014,100,8.153651
-55.137733,100,8.153655
-258.94095,100,8.15366
-135.53441,100,8.153664
-91.786606,100,8.153669
-251.88594,100,8.289189
-79.91985,100,8.289235
-287.3204,100,8.289248
-64.300316,100,8.289254
-323.63235,100,8.289259
-125.93659,100,8.289264
-305.4663,100,8.289268
-71.99231,100,8.289272
-159.45341,100,8.289277
-134.45883,100,8.289281
-182.53802,100,8.428238
-272.1812,100,8.428282
-123.52425,100,8.428291
-115.61786,100,8.428296
-80.81865,100,8.428301
-237.40717,100,8.428306
-79.592674,100,8.42831
-63.16051,100,8.428314
-281.11755,100,8.428319
-261.54193,100,8.428323
-152.96219,100,8.570248
-82.03021,100,8.570297
-223.00314,100,8.570311
-220.80688,100,8.570317
-162.23903,100,8.570323
-159.4579,100,8.570328
-37.71726,100,8.570333
-61.350037,100,8.570337
-27.478754,100,8.570341
-186.07156,100,8.570346
-159.56804,100,8.700894
-63.79568,100,8.700936
-161.56741,100,8.700944
-200.45947,100,8.70095
-336.12308,100,8.700955
-83.697334,100,8.70096
-187.39294,100,8.700964
-172.46754,100,8.700969
-113.93266,100,8.700973
-188.9865,100,8.700977
-77.01587,100,8.829584
-102.57564,100,8.829619
-46.833992,100,8.829628
-118.87849,100,8.829635
-61.6464,100,8.82964
-82.46221,100,8.829646
-54.99786,100,8.82965
-92.12668,100,8.829656
-47.232994,100,8.829661
-71.26176,100,8.829666
-277.7587,100,11.813227
-30.943514,100,11.813278
-156.01482,100,11.813288
-346.86224,100,11.813294
-221.43594,100,11.813303
-206.9178,100,11.813308
-262.1914,100,11.813312
-71.04493,100,11.813317
-25.349993,100,11.813321
-85.66706,100,11.813325
-80.98626,100,11.944458
-55.710552,100,11.944484
-77.61206,100,11.94449
-57.49307,100,11.944496
-44.11464,100,11.9445
-47.550083,100,11.944504
-50.88722,100,11.944512
-35.38447,100,11.944516
-19.280573,100,11.94452
-45.85338,100,11.944524
-16.072258,100,12.072513
-18.055534,100,12.072531
-15.818005,100,12.072538
-48.615067,100,12.072547
-82.907555,100,12.072552
-43.704506,100,12.072556
-102.20593,100,12.072564
-87.16866,100,12.072568
-97.6439,100,12.072572
-109.93179,100,12.072576
-85.26647,100,12.199806
-47.19197,100,12.199815
-138.92096,100,12.199821
-69.039635,100,12.199826
-58.6712,100,12.19983
-62.28231,100,12.199834
-102.14522,100,12.199838
-187.88208,100,12.199842
-80.76039,100,12.199846
-276.9017,100,12.199849
-214.55873,100,12.32793
-159.91528,100,12.32794
-254.22849,100,12.327946
-73.44285,100,12.327951
-240.03914,100,12.327956
-280.93613,100,12.32796
-181.6909,100,12.327964
-185.08543,100,12.327968
-123.845276,100,12.327971
-176.15884,100,12.327975
