#{"t_start": 1761301565.697262, "env_id": "None"}
r,l,t
17.0,100,12.438622
18.0,100,12.438661
41.0,100,12.438667
53.0,100,12.438676
11.0,100,12.43868
1.0,100,12.438685
14.0,100,12.43869
18.0,100,12.438694
33.0,100,12.438698
7.0,100,12.438705
-2.0,100,12.561779
15.0,100,12.561809
-12.0,100,12.561815
6.0,100,12.561819
4.0,100,12.561824
4.0,100,12.561828
37.0,100,12.561832
-12.0,100,12.561836
3.0,100,12.56184
-14.0,100,12.561844
-1.0,100,12.684395
11.0,100,12.684443
-11.0,100,12.684452
7.0,100,12.684458
9.0,100,12.684463
-17.0,100,12.684468
-9.0,100,12.684472
-22.0,100,12.684476
-13.0,100,12.68448
56.0,100,12.684484
1.0,100,12.806562
-35.0,100,12.806599
-8.0,100,12.806605
32.0,100,12.80661
9.0,100,12.806615
6.0,100,12.806619
14.0,100,12.806623
14.0,100,12.806627
2.0,100,12.806631
-11.0,100,12.806634
-1.0,100,12.929814
-3.0,100,12.929855
31.0,100,12.929862
2.0,100,12.929868
-8.0,100,12.929873
-4.0,100,12.929877
-4.0,100,12.929882
-2.0,100,12.929886
11.0,100,12.92989
12.0,100,12.929894
8.0,100,13.054316
13.0,100,13.05436
-8.0,100,13.054368
42.0,100,13.054373
-11.0,100,13.054378
-9.0,100,13.054383
-6.0,100,13.054388
28.0,100,13.054392
21.0,100,13.054396
14.0,100,13.0544
1.0,100,13.178353
0.0,100,13.178394
-8.0,100,13.178402
13.0,100,13.178408
41.0,100,13.178413
-1.0,100,13.178418
23.0,100,13.178422
3.0,100,13.178426
0.0,100,13.178429
15.0,100,13.178433
10.0,100,13.301811
6.0,100,13.301852
-4.0,100,13.301863
5.0,100,13.301868
11.0,100,13.301873
-23.0,100,13.301877
-5.0,100,13.301882
-9.0,100,13.301886
-34.0,100,13.30189
-1.0,100,13.301894
-7.0,100,16.235519
18.0,100,16.235566
30.0,100,16.235574
18.0,100,16.235583
13.0,100,16.235589
-5.0,100,16.235593
18.0,100,16.235598
26.0,100,16.235602
-8.0,100,16.235606
-6.0,100,16.23561
15.0,100,16.360196
17.0,100,16.36024
12.0,100,16.360249
30.0,100,16.360255
-3.0,100,16.36026
46.0,100,16.360274
-4.0,100,16.360279
9.0,100,16.360283
2.0,100,16.360287
23.0,100,16.360291
34.0,100,16.482618
